,accuracy,loss,val_accuracy,val_loss
0,0.7165207266807556,0.5381216406822205,0.7035455107688904,0.5047688484191895
1,0.7933041453361511,0.42418956756591797,0.5702691078186035,0.8723775744438171
2,0.8290260434150696,0.36440756916999817,0.8558308482170105,0.33186691999435425
3,0.85321444272995,0.3245502710342407,0.7823579907417297,0.3968770503997803
4,0.8696070313453674,0.2868291437625885,0.8237932324409485,0.329153448343277
5,0.8843442797660828,0.25527870655059814,0.8878684043884277,0.25002580881118774
6,0.8960914015769958,0.23234619200229645,0.827424168586731,0.4886566400527954
7,0.9047415852546692,0.22052885591983795,0.9053823351860046,0.21042418479919434
8,0.9121636152267456,0.20452876389026642,0.8878684043884277,0.26409730315208435
9,0.9155809283256531,0.19346986711025238,0.9002562761306763,0.2855968177318573
10,0.9202263951301575,0.18724201619625092,0.9141392707824707,0.23876385390758514
11,0.9239107370376587,0.17405268549919128,0.9207603335380554,0.17502149939537048
12,0.9324007034301758,0.16531135141849518,0.9164887070655823,0.18249785900115967
13,0.9315997362136841,0.16141104698181152,0.8748397827148438,0.22035805881023407
14,0.9349102973937988,0.1548539698123932,0.8697137832641602,0.2845991551876068
15,0.9413712024688721,0.1417875587940216,0.9389150142669678,0.17210857570171356
16,0.9416915774345398,0.1368064433336258,0.9316531419754028,0.19044305384159088
17,0.9425458908081055,0.1343231499195099,0.9092268347740173,0.19083914160728455
18,0.9444147944450378,0.1316942721605301,0.9352840781211853,0.1593390554189682
19,0.9471379518508911,0.12707360088825226,0.9252456426620483,0.2094099074602127
20,0.9490602016448975,0.11981421709060669,0.9434002637863159,0.131276935338974
21,0.9522640109062195,0.1105353981256485,0.9273814558982849,0.23268762230873108
22,0.9554677605628967,0.10987772792577744,0.9374198913574219,0.14377780258655548
23,0.9529047608375549,0.11228425800800323,0.9380606412887573,0.13662758469581604
24,0.9558948874473572,0.10535504668951035,0.9382742643356323,0.12991276383399963
25,0.9550405740737915,0.10642462223768234,0.8878684043884277,0.25141075253486633
26,0.9578171968460083,0.09884553402662277,0.9408372640609741,0.13669995963573456
27,0.9596326351165771,0.09616363793611526,0.9322938919067383,0.15792623162269592
28,0.9639043211936951,0.08747464418411255,0.897052526473999,0.23127798736095428
29,0.9633703827857971,0.09367620944976807,0.945108950138092,0.13560691475868225
30,0.9642246961593628,0.08693075180053711,0.9425458908081055,0.17114689946174622
31,0.9632635712623596,0.086399607360363,0.9354976415634155,0.1932222992181778
32,0.9682294130325317,0.08084044605493546,0.9470311999320984,0.15904107689857483
33,0.9680691957473755,0.07832568138837814,0.9453225135803223,0.17359234392642975
34,0.9676420092582703,0.07896343618631363,0.9171294569969177,0.28486934304237366
35,0.9686031341552734,0.07765025645494461,0.944895327091217,0.12588821351528168
36,0.9704720377922058,0.07453691959381104,0.9560016989707947,0.12185890227556229
37,0.9735689759254456,0.06792306900024414,0.9455360770225525,0.15465371310710907
38,0.9723408818244934,0.07146631926298141,0.9359248280525208,0.19841144979000092
39,0.9767727255821228,0.0606316477060318,0.9404100775718689,0.14160986244678497
40,0.9753310680389404,0.06315247714519501,0.9506621360778809,0.11899787932634354
41,0.9751708507537842,0.06144963204860687,0.9085860848426819,0.20874160528182983
42,0.9736757874488831,0.06344883143901825,0.9416915774345398,0.17725087702274323
43,0.9763990044593811,0.058584701269865036,0.9498077630996704,0.12775030732154846
44,0.9753844738006592,0.06284929066896439,0.9442545771598816,0.12350203096866608
45,0.9780542254447937,0.053974200040102005,0.9589918851852417,0.10840282589197159
46,0.9772533178329468,0.05801845341920853,0.9540794491767883,0.11825507134199142
47,0.9770931005477905,0.05450344458222389,0.9406236410140991,0.14825621247291565
48,0.9799231290817261,0.05113403499126434,0.9369927644729614,0.234263077378273
49,0.9808308482170105,0.05046125501394272,0.9585646986961365,0.11977656930685043
