,accuracy,loss,val_accuracy,val_loss
0,0.7357432842254639,0.5094055533409119,0.6008116006851196,0.572820782661438
1,0.8175992965698242,0.3854222297668457,0.8218709826469421,0.36075547337532043
2,0.8582870364189148,0.3092430830001831,0.8237932324409485,0.33504143357276917
3,0.8798056244850159,0.2691728472709656,0.8222981691360474,0.34008029103279114
4,0.8966787457466125,0.23106926679611206,0.907304584980011,0.208746075630188
5,0.9105083346366882,0.20536334812641144,0.8929944634437561,0.30138349533081055
6,0.9184643030166626,0.1894621104001999,0.9145663976669312,0.24426482617855072
7,0.923109769821167,0.1729040890932083,0.9017513990402222,0.19331130385398865
8,0.9317599534988403,0.16028039157390594,0.9369927644729614,0.17410817742347717
9,0.9374732971191406,0.14961345493793488,0.8891499638557434,0.2266455888748169
10,0.9379004836082458,0.1432085633277893,0.9359248280525208,0.1815471202135086
11,0.9438807964324951,0.13401535153388977,0.9414780139923096,0.13645221292972565
12,0.9477253556251526,0.12400277704000473,0.9263135194778442,0.1604013592004776
13,0.952157199382782,0.11705779284238815,0.9374198913574219,0.1389032006263733
14,0.9555745124816895,0.10837066918611526,0.9397693276405334,0.1313096135854721
15,0.9573900103569031,0.10249023884534836,0.9205467700958252,0.16269543766975403
16,0.9598461985588074,0.098180390894413,0.949167013168335,0.16067670285701752
17,0.9601132273674011,0.09668726474046707,0.8489961624145508,0.3449731767177582
18,0.9615548849105835,0.08993295580148697,0.9478855133056641,0.12201866507530212
19,0.9664673209190369,0.08383730053901672,0.9412643909454346,0.1483522355556488
20,0.9651324152946472,0.08508922904729843,0.9348568916320801,0.15449023246765137
21,0.9682294130325317,0.07838251441717148,0.9199060201644897,0.18467025458812714
22,0.9704186320304871,0.07500668615102768,0.9474583268165588,0.12786994874477386
23,0.967909038066864,0.07553542405366898,0.865228533744812,0.3087838590145111
24,0.9722874760627747,0.06722656637430191,0.9480990767478943,0.12381216138601303
